nest,site,year,id,FF_date,FirstFound,Est_Age,Confidence,LastPresent,LastChecked,Unk_Period,Fail_Adj,Fate,MaxExposure,LikExposure,Age_Adj,StartAge,EndAge,UTM_zone,UTM_easting,UTM_northing,eggs,nestlings,fledged,height,mite_mid,mite_late,Freq,
1,MAD,2019,1-MAD-2019,4/25/2019,115,0,High,119,123,4,3,0,8,6,115,0,6,16T,381668,4439152,4,0,0,66,NA,NA,1,
3,MAD,2019,3-MAD-2019,4/16/2019,106,0,High,130,130,0,0,0,24,24,106,0,24,16T,381678,4439140,3,1,1,105,0,0,1,
6,MAD,2019,6-MAD-2019,4/27/2019,117,0,High,140,144,4,3,1,27,25,117,0,25,16T,381671,4439123,5,5,0,119,0,NA,1,
11,MAD,2019,11-MAD-2019,5/3/2019,123,0,High,150,150,0,0,0,27,27,123,0,27,16T,381700,4439105,4,3,3,107,0,0,1,
12,MAD,2019,12-MAD-2019,4/23/2019,113,0,High,141,141,0,0,0,28,28,113,0,28,16T,381697,4439114,5,4,4,130,0,0,1,
13,MAD,2019,13-MAD-2019,5/3/2019,123,0,High,126,130,4,3,1,7,5,123,0,5,16T,381689,4439112,1,0,0,118,NA,NA,1,
14,MAD,2019,14-MAD-2019,5/9/2019,129,0,High,147,150,3,2,1,21,19.5,129,0,19.5,16T,381692,4439114,5,3,0,101,0,NA,1,
17,MAD,2019,17-MAD-2019,4/22/2019,112,0,High,116,119,3,2,1,7,5.5,112,0,5.5,16T,381696,4439140,4,0,0,129,NA,NA,1,
19,MAD,2019,19-MAD-2019,4/26/2019,116,0,High,144,144,0,0,0,28,28,116,0,28,16T,381695,4439145,5,4,4,101,0,0,1,
22,MAD,2019,22-MAD-2019,4/22/2019,112,0,High,140,140,0,0,0,28,28,112,0,28,16T,381685,4439142,5,5,1,127,NA,NA,1,
23,MAD,2019,23-MAD-2019,4/16/2019,106,0,High,130,130,0,0,0,24,24,106,0,24,16T,381687,4439136,4,4,3,136,NA,NA,1,
24,MAD,2019,24-MAD-2019,4/19/2019,109,0,High,136,136,0,0,0,27,27,109,0,27,16T,381685,4439131,4,4,4,138,0,0,1,
25,MAD,2019,25-MAD-2019,4/24/2019,114,0,High,140,140,0,0,0,26,26,114,0,26,16T,381687,4439124,5,4,4,147,0,0,1,
29,MAD,2019,29-MAD-2019,4/24/2019,114,0,High,119,123,4,3,1,9,7,114,0,7,16T,381708,4439069,4,0,0,119,NA,NA,1,
32,MAD,2019,32-MAD-2019,4/26/2019,116,0,High,144,144,0,0,0,28,28,116,0,28,16T,381711,4439090,5,4,4,143,0,0,1,
33,MAD,2019,33-MAD-2019,5/1/2019,121,0,High,150,150,0,0,0,29,29,121,0,29,16T,381709,4439093,5,4,4,127,111,209,1,
36,MAD,2019,36-MAD-2019,4/25/2019,115,0,High,130,134,4,3,1,19,17,115,0,17,16T,381714,4429106,4,0,0,148,NA,NA,1,
40,MAD,2019,40-MAD-2019,4/20/2019,110,0,High,123,126,3,2,1,16,14.5,110,0,14.5,16T,381715,4439130,5,0,0,121,NA,NA,1,
41,MAD,2019,41-MAD-2019,4/16/2019,106,0,High,130,130,0,0,0,24,24,106,0,24,16T,381715,4439137,5,4,2,138,0,0,1,
42,MAD,2019,42-MAD-2019,4/23/2019,113,0,High,140,140,0,0,0,27,27,113,0,27,16T,381706,4430139,5,4,4,109,0,NA,1,
43,MAD,2019,43-MAD-2019,4/25/2019,115,0,High,140,140,0,0,0,25,25,115,0,25,16T,381711,4439146,5,5,5,114,0,NA,1,
